t_seconds,strip,ink,occluded
585.0,4,0.06018,0
585.0,5,0.07516,0
585.0,6,0.06547,0
585.0,7,0.13404,1
590.0,0,0.13526,1
590.0,1,0.14766,1
590.0,2,0.15154,1
590.0,3,0.13224,1
590.0,4,0.13674,1
590.0,5,0.15714,1
590.0,6,0.15318,1
590.0,7,0.17081,1
595.0,0,0.08971,1
595.0,1,0.08997,1
595.0,2,0.13482,1
595.0,3,0.08273,0
595.0,4,0.08057,0
595.0,5,0.07914,0
595.0,6,0.06464,0
595.0,7,0.0894,0
600.0,0,0.08302,1
600.0,1,0.10427,1
600.0,2,0.14362,1
600.0,3,0.11497,0
600.0,4,0.08404,0
600.0,5,0.08073,0
600.0,6,0.06885,0
600.0,7,0.08724,0
605.0,0,0.08687,1
605.0,1,0.12544,1
605.0,2,0.12073,0
605.0,3,0.11385,0
605.0,4,0.08734,0
605.0,5,0.08182,0
605.0,6,0.06771,0
605.0,7,0.08943,0
610.0,0,0.08047,1
610.0,1,0.15182,1
610.0,2,0.07461,1
610.0,3,0.15539,0
610.0,4,0.10156,0
610.0,5,0.0869,0
610.0,6,0.0687,0
610.0,7,0.08859,0
615.0,0,0.13789,1
615.0,1,0.13737,1
615.0,2,0.10779,0
615.0,3,0.1143,0
615.0,4,0.1069,0
615.0,5,0.09617,0
615.0,6,0.07646,0
615.0,7,0.08672,0
620.0,0,0.12557,1
620.0,1,0.06229,1
620.0,2,0.17362,1
620.0,3,0.1469,0
620.0,4,0.11331,0
620.0,5,0.09031,0
620.0,6,0.07216,0
620.0,7,0.0862,0
625.0,0,0.13833,1
625.0,1,0.10701,0
625.0,2,0.17102,1
625.0,3,0.10589,1
625.0,4,0.18771,1
625.0,5,0.10227,0
625.0,6,0.07117,0
625.0,7,0.08958,0
630.0,0,0.2024,1
630.0,1,0.14458,0
630.0,2,0.12862,0
630.0,3,0.11693,0
630.0,4,0.13724,1
630.0,5,0.05909,1
630.0,6,0.14349,1
630.0,7,0.07747,0
635.0,0,0.16159,0
635.0,1,0.08594,1
635.0,2,0.1176,1
635.0,3,0.10464,0
635.0,4,0.09505,0
635.0,5,0.09878,0
635.0,6,0.08656,0
635.0,7,0.06914,0
640.0,0,0.1338,1
640.0,1,0.14435,1
640.0,2,0.15362,1
640.0,3,0.1556,1
640.0,4,0.14076,1
640.0,5,0.15898,1
640.0,6,0.18315,1
640.0,7,0.19729,1
645.0,0,0.17378,0
645.0,1,0.09805,1
645.0,2,0.15909,1
645.0,3,0.13576,0
645.0,4,0.09461,0
645.0,5,0.09159,0
645.0,6,0.08674,0
645.0,7,0.07138,0
650.0,0,0.18357,1
650.0,1,0.1301,0
650.0,2,0.15935,0
650.0,3,0.12008,0
650.0,4,0.11039,0
650.0,5,0.09432,0
650.0,6,0.08719,0
650.0,7,0.06862,0
655.0,0,0.11193,1
655.0,1,0.10193,1
655.0,2,0.13768,0
655.0,3,0.09732,0
655.0,4,0.07534,0
655.0,5,0.06034,0
655.0,6,0.06076,0
655.0,7,0.05367,0
660.0,0,0.12112,0
660.0,1,0.10844,0
660.0,2,0.12505,1
660.0,3,0.08352,1
660.0,4,0.10737,0
660.0,5,0.06365,0
660.0,6,0.0656,0
660.0,7,0.05302,0
665.0,0,0.11185,0
665.0,1,0.10044,0
665.0,2,0.12758,0
665.0,3,0.11318,0
665.0,4,0.11372,1
665.0,5,0.04352,1
